Date,Open,High,Low,Close,Change (Pips),Change (%)
"Jun 29, 2018 18:00",1.16783,1.16818,1.16669,1.16686,-9.7,-0.08%
"Jun 29, 2018 17:00",1.16774,1.16827,1.16712,1.16783,0.9,0.0001
"Jun 29, 2018 16:00",1.16771,1.16822,1.16732,1.16771,0,0
"Jun 29, 2018 15:00",1.16765,1.16832,1.16651,1.1677,0.5,0
"Jun 29, 2018 14:00",1.16432,1.16794,1.16333,1.16764,33.2,0.0028
"Jun 29, 2018 13:00",1.16441,1.16533,1.1628,1.16429,-1.2,-0.01%
"Jun 29, 2018 12:00",1.16498,1.16649,1.16354,1.16443,-5.5,-0.05%
"Jun 29, 2018 11:00",1.16401,1.16597,1.16392,1.16497,9.6,0.0008
"Jun 29, 2018 10:00",1.16508,1.1661,1.16351,1.16403,-10.5,-0.09%
"Jun 29, 2018 9:00",1.16489,1.16632,1.16392,1.16504,1.5,0.0001
"Jun 29, 2018 8:00",1.1623,1.16539,1.1613,1.16496,26.6,0.0023
"Jun 29, 2018 7:00",1.16333,1.16476,1.16201,1.16232,-10.1,-0.09%
"Jun 29, 2018 6:00",1.16493,1.16493,1.16313,1.16329,-16.4,-0.14%
"Jun 29, 2018 5:00",1.16544,1.16571,1.16456,1.16498,-4.6,-0.04%
"Jun 29, 2018 4:00",1.16356,1.16665,1.16348,1.16547,19.1,0.0016
"Jun 29, 2018 3:00",1.16404,1.165,1.16251,1.16356,-4.8,-0.04%
"Jun 29, 2018 2:00",1.15676,1.16453,1.15668,1.16405,72.9,0.0063
"Jun 29, 2018 1:00",1.15692,1.15728,1.15644,1.15673,-1.9,-0.02%
"Jun 29, 2018 0:00",1.15632,1.15759,1.1563,1.15693,6.1,0.0005
"Jun 28, 2018 23:00",1.15642,1.15699,1.15617,1.15636,-0.6,-0.01%
"Jun 28, 2018 22:00",1.15621,1.15644,1.15581,1.15641,2,0.0002
"Jun 28, 2018 21:00",1.15671,1.15718,1.15595,1.15623,-4.8,-0.04%
"Jun 28, 2018 20:00",1.15642,1.15697,1.15598,1.15686,4.4,0.0004
"Jun 28, 2018 19:00",1.15544,1.15667,1.1554,1.15641,9.7,0.0008
"Jun 28, 2018 18:00",1.15831,1.15853,1.15509,1.15544,-28.7,-0.25%
"Jun 28, 2018 17:00",1.15835,1.15863,1.15745,1.15831,-0.4,0
"Jun 28, 2018 16:00",1.15818,1.15852,1.15757,1.15835,1.7,0.0001
"Jun 28, 2018 15:00",1.15806,1.15913,1.15672,1.15815,0.9,0.0001
"Jun 28, 2018 14:00",1.15714,1.15954,1.15706,1.15804,9,0.0008
"Jun 28, 2018 13:00",1.15651,1.15801,1.15509,1.15716,6.5,0.0006
"Jun 28, 2018 12:00",1.15863,1.16008,1.15641,1.15648,-21.5,-0.19%
"Jun 28, 2018 11:00",1.15927,1.15929,1.15769,1.1586,-6.7,-0.06%
"Jun 28, 2018 10:00",1.15759,1.15975,1.15657,1.15921,16.2,0.0014
"Jun 28, 2018 9:00",1.15548,1.158,1.15529,1.15759,21.1,0.0018
"Jun 28, 2018 8:00",1.15603,1.15653,1.15354,1.1555,-5.3,-0.05%
"Jun 28, 2018 7:00",1.15404,1.15695,1.15272,1.15597,19.3,0.0017
"Jun 28, 2018 6:00",1.15559,1.15593,1.15273,1.15409,-15,-0.13%
"Jun 28, 2018 5:00",1.15626,1.15639,1.15476,1.15559,-6.7,-0.06%
"Jun 28, 2018 4:00",1.15677,1.15689,1.15618,1.15622,-5.5,-0.05%
"Jun 28, 2018 3:00",1.15705,1.15728,1.1565,1.15676,-2.9,-0.03%
"Jun 28, 2018 2:00",1.15644,1.15714,1.15641,1.15708,6.4,0.0006
"Jun 28, 2018 1:00",1.15653,1.15672,1.15598,1.15644,-0.9,-0.01%
"Jun 28, 2018 0:00",1.15629,1.15651,1.15536,1.1565,2.1,0.0002
"Jun 27, 2018 23:00",1.15595,1.15635,1.15553,1.15628,3.3,0.0003
"Jun 27, 2018 22:00",1.15582,1.15624,1.15573,1.15594,1.2,0.0001
"Jun 27, 2018 21:00",1.15516,1.15627,1.15505,1.15584,6.8,0.0006
"Jun 27, 2018 20:00",1.1553,1.15609,1.1552,1.15543,1.3,0.0001
"Jun 27, 2018 19:00",1.15571,1.15581,1.15405,1.15531,-4,-0.03%
"Jun 27, 2018 18:00",1.15672,1.15685,1.15527,1.15571,-10.1,-0.09%
"Jun 27, 2018 17:00",1.15823,1.15891,1.15642,1.15669,-15.4,-0.13%
"Jun 27, 2018 16:00",1.15873,1.15912,1.15749,1.15825,-4.8,-0.04%
"Jun 27, 2018 15:00",1.15939,1.1597,1.15813,1.15872,-6.7,-0.06%
"Jun 27, 2018 14:00",1.16073,1.16114,1.15935,1.15939,-13.4,-0.12%
"Jun 27, 2018 13:00",1.15966,1.16128,1.15964,1.16072,10.6,0.0009
"Jun 27, 2018 12:00",1.16285,1.16306,1.15939,1.15968,-31.7,-0.27%
"Jun 27, 2018 11:00",1.16339,1.16396,1.16073,1.16283,-5.6,-0.05%
"Jun 27, 2018 10:00",1.16402,1.16434,1.16336,1.16338,-6.4,-0.06%
"Jun 27, 2018 9:00",1.16278,1.16413,1.16215,1.16403,12.5,0.0011
"Jun 27, 2018 8:00",1.16543,1.16571,1.16238,1.16277,-26.6,-0.23%
"Jun 27, 2018 7:00",1.16663,1.16723,1.1653,1.16548,-11.5,-0.10%
"Jun 27, 2018 6:00",1.16527,1.16665,1.1649,1.16659,13.2,0.0011
"Jun 27, 2018 5:00",1.16547,1.16573,1.16396,1.16532,-1.5,-0.01%
"Jun 27, 2018 4:00",1.16594,1.16603,1.16518,1.16543,-5.1,-0.04%
"Jun 27, 2018 3:00",1.16532,1.16644,1.16497,1.16596,6.4,0.0005
"Jun 27, 2018 2:00",1.16524,1.16579,1.16498,1.16527,0.3,0
"Jun 27, 2018 1:00",1.16547,1.16602,1.16497,1.16529,-1.8,-0.02%
"Jun 27, 2018 0:00",1.16498,1.1655,1.1644,1.16548,5,0.0004
"Jun 26, 2018 23:00",1.16501,1.16523,1.16484,1.16496,-0.5,0
"Jun 26, 2018 22:00",1.16466,1.16516,1.16461,1.16498,3.2,0.0003
"Jun 26, 2018 21:00",1.16459,1.16488,1.16451,1.16467,0.8,0.0001
"Jun 26, 2018 20:00",1.16442,1.16522,1.16417,1.16484,4.2,0.0004
"Jun 26, 2018 19:00",1.16509,1.16542,1.16362,1.16442,-6.7,-0.06%
"Jun 26, 2018 18:00",1.16417,1.16509,1.16411,1.16505,8.8,0.0008
"Jun 26, 2018 17:00",1.16578,1.16609,1.16346,1.16418,-16,-0.14%
"Jun 26, 2018 16:00",1.16751,1.16761,1.16554,1.16579,-17.2,-0.15%
"Jun 26, 2018 15:00",1.16662,1.16774,1.16646,1.16755,9.3,0.0008
"Jun 26, 2018 14:00",1.16648,1.16713,1.165,1.1666,1.2,0.0001
"Jun 26, 2018 13:00",1.16708,1.16743,1.166,1.16643,-6.5,-0.06%
"Jun 26, 2018 12:00",1.16737,1.16842,1.16679,1.16707,-3,-0.03%
"Jun 26, 2018 11:00",1.16695,1.16789,1.1664,1.16738,4.3,0.0004
"Jun 26, 2018 10:00",1.16602,1.16711,1.16562,1.167,9.8,0.0008
"Jun 26, 2018 9:00",1.16724,1.16768,1.16507,1.16599,-12.5,-0.11%
"Jun 26, 2018 8:00",1.16854,1.16881,1.16692,1.16724,-13,-0.11%
"Jun 26, 2018 7:00",1.16927,1.1702,1.16848,1.16857,-7,-0.06%
"Jun 26, 2018 6:00",1.171,1.17113,1.16913,1.16932,-16.8,-0.14%
"Jun 26, 2018 5:00",1.17145,1.17189,1.17093,1.17099,-4.6,-0.04%
"Jun 26, 2018 4:00",1.17094,1.17156,1.17094,1.17145,5.1,0.0004
"Jun 26, 2018 3:00",1.17167,1.17205,1.17093,1.17097,-7,-0.06%
"Jun 26, 2018 2:00",1.1706,1.1718,1.1706,1.17167,10.7,0.0009
"Jun 26, 2018 1:00",1.17044,1.17118,1.1701,1.17058,1.4,0.0001
"Jun 26, 2018 0:00",1.17012,1.17105,1.16991,1.17047,3.5,0.0003
"Jun 25, 2018 23:00",1.1702,1.17055,1.16994,1.17007,-1.3,-0.01%
"Jun 25, 2018 22:00",1.17,1.17067,1.16997,1.17021,2.1,0.0002
"Jun 25, 2018 21:00",1.17025,1.17045,1.16991,1.17007,-1.8,-0.02%
"Jun 25, 2018 20:00",1.16995,1.17052,1.16975,1.17035,4,0.0003
"Jun 25, 2018 19:00",1.17042,1.17123,1.16987,1.16993,-4.9,-0.04%
"Jun 25, 2018 18:00",1.16969,1.17129,1.16969,1.17041,7.2,0.0006
"Jun 25, 2018 17:00",1.16915,1.17017,1.16912,1.16969,5.4,0.0005
"Jun 25, 2018 16:00",1.16928,1.17016,1.16898,1.16916,-1.2,-0.01%
"Jun 25, 2018 15:00",1.16876,1.16978,1.16822,1.16929,5.3,0.0005
"Jun 25, 2018 14:00",1.16797,1.16904,1.16711,1.16876,7.9,0.0007
"Jun 25, 2018 13:00",1.1682,1.16938,1.1678,1.16798,-2.2,-0.02%
"Jun 25, 2018 12:00",1.16874,1.17015,1.16791,1.16817,-5.7,-0.05%
"Jun 25, 2018 11:00",1.1652,1.16937,1.16519,1.1688,36,0.0031
"Jun 25, 2018 10:00",1.16495,1.1652,1.16392,1.16516,2.1,0.0002
"Jun 25, 2018 9:00",1.16588,1.16647,1.1639,1.16495,-9.3,-0.08%
"Jun 25, 2018 8:00",1.16435,1.16706,1.16404,1.16587,15.2,0.0013
"Jun 25, 2018 7:00",1.16306,1.16454,1.16282,1.16431,12.5,0.0011
"Jun 25, 2018 6:00",1.16416,1.16479,1.16296,1.16307,-10.9,-0.09%
"Jun 25, 2018 5:00",1.16525,1.16568,1.16397,1.1642,-10.5,-0.09%
"Jun 25, 2018 4:00",1.1656,1.16568,1.16502,1.16522,-3.8,-0.03%
"Jun 25, 2018 3:00",1.16474,1.16571,1.16466,1.16562,8.8,0.0008
"Jun 25, 2018 2:00",1.16565,1.16582,1.16472,1.16472,-9.3,-0.08%
"Jun 25, 2018 1:00",1.16565,1.16604,1.16498,1.16564,-0.1,0
"Jun 25, 2018 0:00",1.16604,1.16613,1.16517,1.16567,-3.7,-0.03%
"Jun 24, 2018 23:00",1.1669,1.16725,1.16598,1.16599,-9.1,-0.08%
"Jun 24, 2018 22:00",1.16652,1.16695,1.16631,1.16694,4.2,0.0004
"Jun 24, 2018 21:00",1.16617,1.16667,1.16575,1.16646,2.9,0.0002
"Jun 22, 2018 20:00",1.16584,1.16632,1.16566,1.16567,-1.7,-0.01%
"Jun 22, 2018 19:00",1.16628,1.16657,1.16578,1.16586,-4.2,-0.04%
"Jun 22, 2018 18:00",1.16614,1.16675,1.16557,1.16626,1.2,0.0001
"Jun 22, 2018 17:00",1.16475,1.16619,1.16465,1.1661,13.5,0.0012
"Jun 22, 2018 16:00",1.16299,1.16524,1.16295,1.16478,17.9,0.0015
"Jun 22, 2018 15:00",1.16382,1.16406,1.16296,1.16299,-8.3,-0.07%
"Jun 22, 2018 14:00",1.16499,1.16544,1.16173,1.16374,-12.5,-0.11%
"Jun 22, 2018 13:00",1.16543,1.16665,1.16431,1.16504,-3.9,-0.03%
"Jun 22, 2018 12:00",1.16419,1.16563,1.16396,1.1654,12.1,0.001
"Jun 22, 2018 11:00",1.16428,1.16527,1.16347,1.16422,-0.6,-0.01%
"Jun 22, 2018 10:00",1.16581,1.16589,1.16319,1.16428,-15.3,-0.13%
"Jun 22, 2018 9:00",1.1669,1.1675,1.16573,1.16582,-10.8,-0.09%
"Jun 22, 2018 8:00",1.1651,1.1671,1.1641,1.1669,18,0.0015
"Jun 22, 2018 7:00",1.16383,1.16739,1.16383,1.16514,13.1,0.0011
"Jun 22, 2018 6:00",1.16322,1.16409,1.16243,1.16367,4.5,0.0004
"Jun 22, 2018 5:00",1.16136,1.16381,1.16135,1.16323,18.7,0.0016
"Jun 22, 2018 4:00",1.16135,1.16156,1.1609,1.16141,0.6,0.0001
"Jun 22, 2018 3:00",1.16053,1.16155,1.16043,1.16133,8,0.0007
"Jun 22, 2018 2:00",1.16008,1.16071,1.16008,1.16053,4.5,0.0004
"Jun 22, 2018 1:00",1.16121,1.16131,1.16009,1.16009,-11.2,-0.10%
"Jun 22, 2018 0:00",1.16043,1.16177,1.16043,1.16117,7.4,0.0006
"Jun 21, 2018 23:00",1.16093,1.16096,1.16031,1.16041,-5.2,-0.04%
"Jun 21, 2018 22:00",1.1607,1.16096,1.16015,1.16093,2.3,0.0002
"Jun 21, 2018 21:00",1.15978,1.16099,1.15977,1.16076,9.8,0.0008
"Jun 21, 2018 20:00",1.16119,1.16139,1.16028,1.16029,-9,-0.08%
"Jun 21, 2018 19:00",1.16229,1.16236,1.16119,1.1612,-10.9,-0.09%
"Jun 21, 2018 18:00",1.16148,1.16285,1.16142,1.16232,8.4,0.0007
"Jun 21, 2018 17:00",1.16073,1.16173,1.16061,1.16149,7.6,0.0007
"Jun 21, 2018 16:00",1.16,1.1608,1.15953,1.16074,7.4,0.0006
"Jun 21, 2018 15:00",1.16066,1.16125,1.15974,1.15996,-7,-0.06%
"Jun 21, 2018 14:00",1.15865,1.16337,1.15754,1.1607,20.5,0.0018
"Jun 21, 2018 13:00",1.1589,1.16015,1.15821,1.15862,-2.8,-0.02%
"Jun 21, 2018 12:00",1.15432,1.16111,1.15321,1.15892,46,0.004
"Jun 21, 2018 11:00",1.15379,1.15472,1.15287,1.15429,5,0.0004
"Jun 21, 2018 10:00",1.15203,1.1542,1.15154,1.15384,18.1,0.0016
"Jun 21, 2018 9:00",1.15188,1.15283,1.15079,1.15198,1,0.0001
"Jun 21, 2018 8:00",1.15649,1.15678,1.15173,1.15192,-45.7,-0.40%
"Jun 21, 2018 7:00",1.1541,1.1567,1.15353,1.15651,24.1,0.0021
"Jun 21, 2018 6:00",1.156,1.15606,1.15399,1.15408,-19.2,-0.17%
"Jun 21, 2018 5:00",1.15624,1.15638,1.15541,1.15602,-2.2,-0.02%
"Jun 21, 2018 4:00",1.15642,1.15652,1.15567,1.15623,-1.9,-0.02%
"Jun 21, 2018 3:00",1.15672,1.15677,1.15577,1.15641,-3.1,-0.03%
"Jun 21, 2018 2:00",1.15671,1.15761,1.15657,1.15669,-0.2,0
"Jun 21, 2018 1:00",1.15768,1.15769,1.15618,1.15675,-9.3,-0.08%
"Jun 21, 2018 0:00",1.15776,1.15801,1.15704,1.15765,-1.1,-0.01%
"Jun 20, 2018 23:00",1.15767,1.158,1.15721,1.15777,1,0.0001
"Jun 20, 2018 22:00",1.15735,1.15771,1.15724,1.15766,3.1,0.0003
"Jun 20, 2018 21:00",1.15691,1.15767,1.15685,1.15733,4.2,0.0004
"Jun 20, 2018 20:00",1.1581,1.15844,1.15753,1.15753,-5.7,-0.05%
"Jun 20, 2018 19:00",1.15863,1.15889,1.15797,1.1581,-5.3,-0.05%
"Jun 20, 2018 18:00",1.15918,1.15929,1.15778,1.15865,-5.3,-0.05%
"Jun 20, 2018 17:00",1.1589,1.15958,1.1585,1.15915,2.5,0.0002
"Jun 20, 2018 16:00",1.15918,1.15942,1.15858,1.1589,-2.8,-0.02%
"Jun 20, 2018 15:00",1.15787,1.15921,1.15737,1.15918,13.1,0.0011
"Jun 20, 2018 14:00",1.15826,1.1586,1.15664,1.15785,-4.1,-0.04%
"Jun 20, 2018 13:00",1.1594,1.16001,1.15762,1.15828,-11.2,-0.10%
"Jun 20, 2018 12:00",1.15746,1.1597,1.15699,1.15939,19.3,0.0017
"Jun 20, 2018 11:00",1.15611,1.1575,1.15572,1.15742,13.1,0.0011
"Jun 20, 2018 10:00",1.15644,1.15736,1.15568,1.15611,-3.3,-0.03%
"Jun 20, 2018 9:00",1.15571,1.15756,1.1556,1.15644,7.3,0.0006
"Jun 20, 2018 8:00",1.15763,1.15763,1.15366,1.1557,-19.3,-0.17%
"Jun 20, 2018 7:00",1.15665,1.15925,1.15627,1.15765,10,0.0009
"Jun 20, 2018 6:00",1.15728,1.15846,1.15636,1.15669,-5.9,-0.05%
"Jun 20, 2018 5:00",1.15698,1.15787,1.15667,1.15724,2.6,0.0002
"Jun 20, 2018 4:00",1.15745,1.15746,1.15674,1.15701,-4.4,-0.04%
"Jun 20, 2018 3:00",1.1581,1.15818,1.15713,1.15749,-6.1,-0.05%
"Jun 20, 2018 2:00",1.15819,1.15885,1.15774,1.15809,-1,-0.01%
"Jun 20, 2018 1:00",1.15757,1.15864,1.15729,1.15814,5.7,0.0005
"Jun 20, 2018 0:00",1.15883,1.15894,1.15762,1.15762,-12.1,-0.10%
"Jun 19, 2018 23:00",1.15882,1.15952,1.15872,1.15878,-0.4,0
"Jun 19, 2018 22:00",1.15846,1.15891,1.15841,1.15885,3.9,0.0003
"Jun 19, 2018 21:00",1.15872,1.15891,1.15832,1.15845,-2.7,-0.02%
"Jun 19, 2018 20:00",1.15806,1.15938,1.15796,1.15897,9.1,0.0008
"Jun 19, 2018 19:00",1.15746,1.15813,1.1571,1.1581,6.4,0.0006
"Jun 19, 2018 18:00",1.15725,1.15874,1.15684,1.1574,1.5,0.0001
"Jun 19, 2018 17:00",1.157,1.15835,1.15684,1.15729,2.9,0.0003
"Jun 19, 2018 16:00",1.15785,1.15785,1.15656,1.15703,-8.2,-0.07%
"Jun 19, 2018 15:00",1.15649,1.15875,1.15605,1.15779,13,0.0011
"Jun 19, 2018 14:00",1.15611,1.15729,1.15559,1.15651,4,0.0003
"Jun 19, 2018 13:00",1.15542,1.15665,1.15502,1.15608,6.6,0.0006
"Jun 19, 2018 12:00",1.15445,1.15631,1.15329,1.15542,9.7,0.0008
"Jun 19, 2018 11:00",1.15522,1.15532,1.15397,1.15448,-7.4,-0.06%
"Jun 19, 2018 10:00",1.15512,1.15603,1.15434,1.15525,1.3,0.0001
"Jun 19, 2018 9:00",1.15541,1.15601,1.15305,1.15511,-3,-0.03%
"Jun 19, 2018 8:00",1.15806,1.15976,1.15419,1.1554,-26.6,-0.23%
"Jun 19, 2018 7:00",1.1583,1.1591,1.15712,1.15804,-2.6,-0.02%
"Jun 19, 2018 6:00",1.16212,1.16241,1.15816,1.15831,-38.1,-0.33%
"Jun 19, 2018 5:00",1.16275,1.16337,1.16191,1.16215,-6,-0.05%
"Jun 19, 2018 4:00",1.16406,1.16407,1.16244,1.16276,-13,-0.11%
"Jun 19, 2018 3:00",1.16318,1.16445,1.16312,1.16405,8.7,0.0007
"Jun 19, 2018 2:00",1.16362,1.16396,1.1631,1.16318,-4.4,-0.04%
"Jun 19, 2018 1:00",1.16339,1.16404,1.16281,1.1636,2.1,0.0002
"Jun 19, 2018 0:00",1.16295,1.16352,1.16256,1.1634,4.5,0.0004
"Jun 18, 2018 23:00",1.16211,1.16408,1.16206,1.16295,8.4,0.0007
"Jun 18, 2018 22:00",1.16209,1.16245,1.16194,1.16213,0.4,0
"Jun 18, 2018 21:00",1.1622,1.16239,1.16175,1.16208,-1.2,-0.01%
"Jun 18, 2018 20:00",1.16164,1.1624,1.16147,1.16227,6.3,0.0005
"Jun 18, 2018 19:00",1.16148,1.16199,1.16136,1.16163,1.5,0.0001
"Jun 18, 2018 18:00",1.16137,1.16214,1.16117,1.16146,0.9,0.0001
"Jun 18, 2018 17:00",1.16045,1.16147,1.16026,1.16137,9.2,0.0008
"Jun 18, 2018 16:00",1.16055,1.16098,1.16014,1.16049,-0.6,-0.01%
"Jun 18, 2018 15:00",1.16118,1.16173,1.16044,1.16053,-6.5,-0.06%
"Jun 18, 2018 14:00",1.16042,1.16204,1.15971,1.16118,7.6,0.0007
"Jun 18, 2018 13:00",1.16054,1.1609,1.15955,1.16046,-0.8,-0.01%
"Jun 18, 2018 12:00",1.1611,1.16202,1.16042,1.16055,-5.5,-0.05%
"Jun 18, 2018 11:00",1.16185,1.16242,1.16101,1.16108,-7.7,-0.07%
"Jun 18, 2018 10:00",1.15976,1.162,1.15949,1.16189,21.3,0.0018
"Jun 18, 2018 9:00",1.159,1.1611,1.15892,1.15975,7.5,0.0006
"Jun 18, 2018 8:00",1.15727,1.15915,1.15704,1.15901,17.4,0.0015
"Jun 18, 2018 7:00",1.15742,1.15799,1.15655,1.15728,-1.4,-0.01%
"Jun 18, 2018 6:00",1.15931,1.15975,1.15742,1.15742,-18.9,-0.16%
"Jun 18, 2018 5:00",1.15908,1.15983,1.15908,1.15926,1.8,0.0002
"Jun 18, 2018 4:00",1.15904,1.15941,1.15882,1.15912,0.8,0.0001
"Jun 18, 2018 3:00",1.15871,1.15933,1.15868,1.15901,3,0.0003
"Jun 18, 2018 2:00",1.15883,1.1589,1.15834,1.15871,-1.2,-0.01%
"Jun 18, 2018 1:00",1.15778,1.15887,1.15762,1.15886,10.8,0.0009
"Jun 18, 2018 0:00",1.1593,1.15948,1.15772,1.15777,-15.3,-0.13%
"Jun 17, 2018 23:00",1.15946,1.15969,1.15905,1.1593,-1.6,-0.01%
"Jun 17, 2018 22:00",1.15952,1.15959,1.15933,1.15948,-0.4,0
"Jun 17, 2018 21:00",1.15863,1.1602,1.15854,1.15947,8.4,0.0007
"Jun 15, 2018 20:00",1.16114,1.16114,1.16057,1.16066,-4.8,-0.04%
"Jun 15, 2018 19:00",1.16057,1.16141,1.16037,1.16111,5.4,0.0005
"Jun 15, 2018 18:00",1.16104,1.16148,1.16057,1.16059,-4.5,-0.04%
"Jun 15, 2018 17:00",1.16051,1.16107,1.16003,1.16105,5.4,0.0005
"Jun 15, 2018 16:00",1.16157,1.16182,1.16019,1.16054,-10.3,-0.09%
